text,label
"Çitler kırık park sokağa açılmış tehlikeli, çocuklar etkileniyor. İlgili birime iletilmesini rica ederim.",Park ve Yeşil Alan
"yandaki işyeri uzun süredir sonuna kadar müzik açıyor, ayrıca kafelerin masaları geceleri çok gürültülü.",Gürültü ve Çevre Kirliliği
"Düğün salonu sürekli sesi sonuna kadar açıyor, yaşanmıyor artık. Şimdiden teşekkürler.",Gürültü ve Çevre Kirliliği
"kısırlaştırma yok hayvan sayısı çok arttı, ayrıca geceleri havlamalar bir aydır uyutmuyor.",Başıboş Hayvanlar
"Ya artık yeter, sokağın tamamı kapkaranlık bir tane lamba yanmıyor. Bir an önce ilgilenilsin",Sokak Aydınlatması
Durakta ışık yok gece bekleyemiyoruz. İlginizi rica ediyorum.,Sokak Aydınlatması
"Bakın, yeşil alan bir aydır sulanmıyor çimler kurudu, her gün aynı dert. Artık bir şey yapın!",Park ve Yeşil Alan
Apartmanın önünde sorun var; otobüs seferleri akşam çok seyrek,Toplu Ulaşım
Elektrk direği yana yatmış ışık da yok. Yardımcı olursanız çok seviniriz.,Sokak Aydınlatması
Yahu otobüs seferleri akşam çok seyrek,Toplu Ulaşım
çöp yakıyorlar mahalle dumana boğuldu.,Gürültü ve Çevre Kirliliği
Cocuk parkının yanında sorun var; egzoz ve tozdan pencere açamıyoruz,Gürültü ve Çevre Kirliliği
"pes yani, düğün salonu geceleri sesi sonuna kadar açıyor, yaşanmıyor artık. Artık bir şey yapın!",Gürültü ve Çevre Kirliliği
"Pes yani, bizim mahallede mazgal kapağı yok açık duruyor, ayrıca engelli rampası yok tekerlekli sandalye geçemiyor",Yol ve Kaldırım
"Kısırlaştırma yok hayvan sayısı çok arttı, ayrıca geceleri havlamalar aylardır uyutmuyor.",Başıboş Hayvanlar
HAYVANLAR TRAFIKTE TEHLIKE YARATIYOR.,Başıboş Hayvanlar
"Of ya, park lambaları yanmıyor akşam kullanılmıyor, ayrıca park bakımsız her yer çöp ve cam kırığı.",Park ve Yeşil Alan
"Yahu okul yolunda ışık yok çocuklar korkuyor, ayrıca apartmanın önünde lamba patlamış aylardır değişen yok.",Sokak Aydınlatması
"Sefer saatleri tutmuyor saatlercee bekliyoruz, ayrıca sefer saatleri tutmuyor saatlerce bekliyoruz.",Toplu Ulaşım
"Bıktık artık, spor aletleri bozulmuş kimse tamir etmiyor, defalarca aradık sonuç yok. İlgili ekip gönderilsin lütfen",Park ve Yeşil Alan
"Okul onunde kopek surusu var velii tedirgin, sagligimiz tehlikede. Acil cozun sunu!",Başıboş Hayvanlar
Duragin yanında sorun var; evimizin tam önünde lamba patlamış aylardır değişen yok.,Sokak Aydınlatması
"Pes yani, geri dönüşüm kutuları aylardır boşaltılmıyor.",Çöp ve Temizlik
"Yeter ama, çitler kırık park sokağa açılmış tehlikeli.",Park ve Yeşil Alan
Engelli rampası yok tekerlekli sandalye geçemiyor. İlgili birime iletilmesiniii rica ederim.,Yol ve Kaldırım
Su sayacı arızalı fauraaa uçtu.,Su ve Kanalizasyon
Kopekler parki kirletiyor temizlenmiyor,Park ve Yeşil Alan
rezalet. direkteki lamba arızalı gece çok tehlikeli.,Sokak Aydınlatması
Direkteki lamba arizali gece cok tehlikeli. Simdiden tesekkurler.,Sokak Aydınlatması
"ALLAH AŞKINA, PARKIN ÇEŞMESINDEN SU AKMIYOR.",Park ve Yeşil Alan
kaldırım o kadar dar ki arabayla geçilmiyor. İlgili ekip gönerilsin lütfen.,Yol ve Kaldırım
"yeter ama, lağım kokusu aylardır eve doluyor.",Su ve Kanalizasyon
"Okulun yanındaki sokakta yeni mahalleye ulaşım yok, defalarca aradık sonuç yok. Konunun takip edilmesini istiyoruz.",Toplu Ulaşım
Yahu karanlıkta gencler toplanıyor güvensiz.,Sokak Aydınlatması
"Kaldırım karanlık düşüp yaralandık, ayrıca direkteki lamba arızalı gece çok tehlikeli.",Sokak Aydınlatması
çocuk parkındaki salıncaklar kırık tehlikeli.,Park ve Yeşil Alan
cocuk parkının yanında sorun var; rögar tıkanmış yağmur suyu çekilmiyor.,Su ve Kanalizasyon
Pazar yerinin orada fareler türedi çünkü çöpler ortada,Çöp ve Temizlik
"of ya, alt geçidin oraya gece motorları gaza basıp duruyor, ayrıca kamyonlar günlerdir cadde ortasında çalışır halde bekliyor.",Gürültü ve Çevre Kirliliği
"Bakın, metro çıkışında kedilere mama su konmuyor",Başıboş Hayvanlar
"duragin yaninda hurdacilar sabaha karsi gurultu yapiyor, sagligimiz tehlikede. Gereginin yapilmasini rica ederim",Gürültü ve Çevre Kirliliği
bizim mahallede fareler türedi çünkü çöpler ortada. Ne zaman çözeceksiniz?,Çöp ve Temizlik
"valla bıktık, bir hayvan kapana sıkışmış kurtaran lazım. Acil çözün şunu!",Başıboş Hayvanlar
ana cadde uzerinde sorun var; yol çalışması yarım kalmış günlerdir öyle duruyor.,Yol ve Kaldırım
Park gece icki icenlerin mekani oldu.,Park ve Yeşil Alan
"Sokak hayvanları aç bakan yok, kimse umursamıyor. Çözülmesini bekliyoruz.",Başıboş Hayvanlar
YAHU OTOBÜS ÇOK ESKI SÜREKLI ARIZALANIYOR.,Toplu Ulaşım
"Of ya, park bakımsız her yer çöp ve cam kırığı, ayrıca oyun grubunun zemini bozuk çocuklar düşüyor.",Park ve Yeşil Alan
"Bıktık artık, ölü bir hayvan var günlerdir kaldıran yok, ayrıca aşısız hayvanlar dolaşıyor tehlikeli",Başıboş Hayvanlar
"Bir hayvan kapana sikismis kurtaran lazim, boyle olmaz ki. Gereginin yapilmasini rica ederim.",Başıboş Hayvanlar
Rezalet. gece hattı yok eve dönemiyoruz.,Toplu Ulaşım
"Yeter ama, okulun yanındaki sokakta gece motorları gaza basıp duruyor, ayrıca kafelerin masaları geceleri çok gürültülü.",Gürültü ve Çevre Kirliliği
caddemizde kedilere mama su konmuyor.,Başıboş Hayvanlar
yolun ortasında koca bir çukur açıldı. Bir an önce ilgilenilsin.,Yol ve Kaldırım
cocuk parkinin yaninda sorun var; acik alanda atik yakiliyor koku dayanilmaz.,Gürültü ve Çevre Kirliliği
Trafik levhası devrilmiş kimse ilgilenmiyor,Yol ve Kaldırım
"bıktık artık, Ara sokakta sorun var; sokak aylardır süpürülmüyor her yer kir.",Çöp ve Temizlik
"Sefer saatleri tutmuyor saatlerce bekliyoruz, ayrıca hat iptal olmuş kimse duyurmamış.",Toplu Ulaşım
"Bıktık artık, kar yağınca yollar tuzlanmadı buz tuttu.",Yol ve Kaldırım
"bizim mahallede yeşil alana izinsiz inşaat var, ayrıca kaydırak kırılmış paslı çocuk yaralanır.",Park ve Yeşil Alan
Evimizin tam önünde gece motorları gaza basıp duruyor. Şimdiden teşekkürler.,Gürültü ve Çevre Kirliliği
"Pes yani, şoför durakta durmadan geçti.",Toplu Ulaşım
"YA ARTIK YETER, UST GECIDIN MERDIVENLERI KIRIK TEHLIKELI.",Yol ve Kaldırım
Metro çıkışında koca bir çöp yığını var.,Çöp ve Temizlik
Geceleri havlamalar her hafta uyutmuyor.,Başıboş Hayvanlar
"Yeter ama, sürü halinde köpekler çocuklara havlıyor. Vergimizi ne için veriyoruz?",Başıboş Hayvanlar
"Ya artık yeter, geceleri havlamalar sürekli uyutmuyor, çocuklar etkileniyor. İlgili ekip gönderilsin lütfen.",Başıboş Hayvanlar
oyun grubunun zemini bozuk çocuklar düşüyor.,Park ve Yeşil Alan
"of ya, üst geçidin merdivenleri kırık tehlikeli. Bir an önce ilgilenilsin",Yol ve Kaldırım
karanlıkta gencler toplanıyor güvensiz.,Sokak Aydınlatması
"Bakın, oyun grubunun zemini bozuk çocuklar düşüyor. Artık bir şey yapın!",Park ve Yeşil Alan
"yeni direklere ışık takılmamış, yaşanmıyor artık. Çözülmesini bekliyoruz.",Sokak Aydınlatması
"of ya, sokağımızda engelli rampalı otobüs gelmiyor.",Toplu Ulaşım
Sokağımızda sorun var; sokak her gün süpürülmüyor her yer kir.,Çöp ve Temizlik
Ara sokakta sorun var; okulun yanındaki sokakta lamba patlamış aylardır değişen yok,Sokak Aydınlatması
Rezalet. Site girişinde sorun var; tuvalet geri tepiyor kanalizasyon dolu.,Su ve Kanalizasyon
"pes yani, Metro çıkışında sorun var; site girişinde kaldırım taşları sökülmüş yürünmüyor.",Yol ve Kaldırım
Ölü bir hayvan var günlerdir kaldıran yok.,Başıboş Hayvanlar
Cocuk parkinin yaninda sorun var; kar yaginca yollar tuzlanmadi buz tuttu.,Yol ve Kaldırım
"Direkteki lamba arızalı gece çok tehlikeli, ayrıca ana cadde uzerinde lamba patlamış aylardır değişen yok.",Sokak Aydınlatması
Rezalet. yağmur suyu giderleri çöple dolmuş. Çözülmesini bekliyoruz.,Su ve Kanalizasyon
"Ya artık yeter, çitlerrr kırık park sokağa açılmış tehlikeli.",Park ve Yeşil Alan
Kopekler copu dagitiyor sabah berbat oluyor.,Çöp ve Temizlik
"Minibüsler tıka basa dolu binilmiyor, ayrıca gece hattı yok eve dönemiyoruz",Toplu Ulaşım
caminin arka sokaginda sorun var; ana cadde uzerinde kaldirim taslari sokulmus yurunmuyor.,Yol ve Kaldırım
"Allah aşkına, Ana cadde uzerinde sorun var; okulun yanındaki sokakta yol çökmüş araçlar zarar görüyor.",Yol ve Kaldırım
"ya artık yeter, köşedeki bakkalin önünde engelli rampalı otobüs gelmiyor. Bu kadarına da pes",Toplu Ulaşım
"Karanlıkta gencler toplanıyor güvensiz, ayrıca lamba yanıp sönüyor sinir bozuyor.",Sokak Aydınlatması
"Yeter ama, kart dolum noktası her gün çalışmıyor. Artık bir şey yapın!",Toplu Ulaşım
"Valla bıktık, bizim mahallede çöpler birikti leş gibi kokuyor.",Çöp ve Temizlik
"Valla bıktık, hat iptal olmuş kimse duyurmamış. Bu kadarına da pes!",Toplu Ulaşım
Pazar yerinin orada sorun var; otobüs çok eski sürekli arızalanıyor.,Toplu Ulaşım
"Bakın, Bizim mahallede sorun var; lağım kokusu bir aydır eve doluyor",Su ve Kanalizasyon
köpekler çöpü dağıtıyor sabah berbat oluyor,Çöp ve Temizlik
DURAGIN YANINDA KEDILERE MAMA SU KONMUYOR. VERGIMIZI NE IÇIN VERIYORUZ?,Başıboş Hayvanlar
"Bakın, ana caddenin yarısı karanlık yürümek korkutucu.",Sokak Aydınlatması
"Caminin arka sokağında koca bir çöp yığını var, ayrıca çöpten dolayı sinek kaynıyor.",Çöp ve Temizlik
"valla bıktık, yaralı bir hayvan var ilgilenen yok. İlgili ekip gönderilsin lütfen.",Başıboş Hayvanlar
Akşam olunca her yer zifiri karanlık.,Sokak Aydınlatması
"Bıktık artık, pazar yerinin orada sokak lambaları her gün yanmıyor.",Sokak Aydınlatması
Apartmanin onunde sorun var; acik alanda atik yakiliyor koku dayanilmaz,Gürültü ve Çevre Kirliliği
kart dolum noktası her hafta çalışmıyor.,Toplu Ulaşım
"Valla bıktık, duraktaki bank ve durak kapalısı kırık. Bu kadarına da pes!",Toplu Ulaşım
"caminin arka sokağında yeni mahalleye ulaşım yok, ayrıca durakta tabela yok hangi hat geçer belli değil",Toplu Ulaşım
Pazar yerinin orada sorun var; ana cadde uzerinde çöpler birikti leş gibi kokuyor.,Çöp ve Temizlik
"Bakın, Caddemizde sorun var; kaldırıma park ediyorlar yaya yürüyemiyor.",Yol ve Kaldırım
"okul yolunda ışık yok çocuklar korkuyor, ayrıca ana caddenin yarısı karanlık yürümek korkutucu",Sokak Aydınlatması
bizim mahallede yol çökmüş araçlar zarar görüyor. Yardımcı olursanız çok seviniriz.,Yol ve Kaldırım
"pes yani, yağmur suyu giderleri çöple dolmuş. Vergimizi ne için veriyoruz?",Su ve Kanalizasyon
"Köşedeki bakkalin önünde yeni mahalleye ulaşım yok, her gün aynı dert",Toplu Ulaşım
yağmur suyu giderleri çöple dolmuş.,Su ve Kanalizasyon
"su sayacı arızalı fatura uçtu, yaşanmıyor artık. Artık bir şey yapın!",Su ve Kanalizasyon
Bizim mahallede sorun var; sanayi atıkları dereye boşaltılıyor.,Gürültü ve Çevre Kirliliği
"Yeter ama, geri donusum kutulari aylardir bosaltilmiyor, ayrica insaat molozunu yola dokmusler kaldiran yok",Çöp ve Temizlik
Site grişinde köpekler peşimize takılıyor korkuyoruz,Başıboş Hayvanlar
"Allah aşkna, çöp konteynerleri ağzına kadar dolmuş taşıyor.",Çöp ve Temizlik
durakta ışık yok gece bekleyemiyoruz. Gereğinin yapılmasını rica ederim.,Sokak Aydınlatması
"Su sayacı arızalı fatura uçtu, rezil olduk. Çözülmesini bekliyoruz.",Su ve Kanalizasyon
Köpekler çöpü dağıtıyor sabah berbat oluyor,Çöp ve Temizlik
rögar tıkanmış yağmur suyu çekilmiyor,Su ve Kanalizasyon
"çöpler aylardır toplanmıyor, ayrıca çöpten dolayı sinek kaynıyor",Çöp ve Temizlik
"Valla bıktık, inşaat molozunu yola dökmüşler kaldıran yok",Çöp ve Temizlik
caddemizde sorun var; kanalizasyon kapagi cokmus cukur olmus.,Su ve Kanalizasyon
"Allah aşkına, alt geçidin oraya yeşil alana zinsiz inşaat var, ayrıca park bakımsız her yer çöp ve cam kırığı",Park ve Yeşil Alan
Otobusler haftalardir saatinde gelmiyor,Toplu Ulaşım
"Pes yani, su borusu patlamış cadde sular altında.",Su ve Kanalizasyon
Ölü bir hyvan var günlerdir kaldıran yok,Başıboş Hayvanlar
"valla bıktık, yol çalışması yarım kalmış sabahtan akşama öyle duruyor, kimse umursamıyor. İlgili ekip gönderilsin lütfen.",Yol ve Kaldırım
park aydınlatması bozuk çocuklar oynayamıyor. Vergimizi ne için veriyoruz?,Sokak Aydınlatması
lağım kokusu uzun süredir eve doluyor. Yardımcı olursanız çok seviniriz.,Su ve Kanalizasyon
"Rezalet. duraktaki bank ve durak kapalısı kırık, ayrıca minibüsler tıka basa dolu binilmiyor.",Toplu Ulaşım
"Valla bıktık, Duragin yanında sorun var; alt geçidin oraya kedilere mama su konmuyor.",Başıboş Hayvanlar
Metro çıkışında sorun var; atölye abahtan akşama makine sesinden uyutmuyor.,Gürültü ve Çevre Kirliliği
"Ya artık yeter, kart dolum noktası kaç kere söyledik yine çalışmıyor, ayrıca şoför durakta durmadan geçti",Toplu Ulaşım
Yahu atık konteyneri yanlış yere konmuş kapımızı kapatıyor. İlgili ekip gönderilsin lütfen.,Çöp ve Temizlik
"geri dönüşüm kutuları aylardır boşaltılmıyor, sağlığımız tehlikede. Yardımcı olursanız çok seviniriz.",Çöp ve Temizlik
"bakın, kafelerin masaları geceleri çok gürültülü, böyle olmaz ki. İlgili ekip gönderilsin lütfen.",Gürültü ve Çevre Kirliliği
"bıktık artık, sürü halinde köpekler çocuklara havlıyor. İlgili ekip gönderilsin lütfen.",Başıboş Hayvanlar
Yahu Mahallemizde sorun var; oyun grubunun zemini bozuk çocuklar düşüyor.,Park ve Yeşil Alan
Yeşil alan akşamları sulanmıyor çimler kurudu.,Park ve Yeşil Alan
caddemizde engelli rampalı otobüs gelmiyor.,Toplu Ulaşım
"ya artik yeter, kosedeki bakkalin onunde sokak lambalari bir aydir yanmiyor.",Sokak Aydınlatması
hayvanlar trafikte tehlike yaratıyor.,Başıboş Hayvanlar
"çöpten dolayı sinek kaynıyor, ayrıca konteyner kırılmış çöpler etrafa saçılıyor.",Çöp ve Temizlik
"Of ya, ara sokakta kaldirim taslari sokulmus yurunmuyor.",Yol ve Kaldırım
"pes yani, su bir aydır kesik haber bile vermiyorlar, her gün aynı ert. Bir an önce ilgilenilsin.",Su ve Kanalizasyon
"Bakın, Cocuk parkının yanında sorun var; bodrumu lağım suyu bastı.",Su ve Kanalizasyon
"Of ya, her yağmurda evi su basıyor gider tıkalı, ayrıca bodrumu lağım suyu bastı.",Su ve Kanalizasyon
